globcover,description,landuse,Kext,N,PathFrac,RootingDepth,Sl,Swood,WaterFrac,USLE_C,Cov_River
11,Post-flooding or irrigated croplands (or aquatic),11,0.6,0.2,0,390,0.127,0.01,0,0.2,0.97
14,Rainfed croplands,14,0.6,0.2,0,390,0.127,0,0,0.35,1.97
20,Mosaic cropland (50-70%) / vegetation (grassland/shrubland/forest) (20-50%),20,0.6,0.44,0,397,0.127,0.01,0,0.27,1.97
30,Mosaic vegetation (grassland/shrubland/forest) (50-70%) / cropland (20-50%) ,30,0.6,0.56,0,400,0.127,0.01,0,0.25,1.97
40,Closed to open (>15%) broadleaved evergreen or semi-deciduous forest (>5m),40,0.6,0.3,0,308,0.039,0.5,0,0.0065,5.40
50,Closed (>40%) broadleaved deciduous forest (>5m),50,0.8,0.8,0,430,0.036,0.5,0,0.001,19.20
60,Open (15-40%) broadleaved deciduous forest/woodland (>5m),60,0.8,0.4,0,430,0.036,0.5,0,0.01,5.40
70,Closed (>40%) needleleaved evergreen forest (>5m),70,0.8,0.1,0,382,0.045,0.5,0,0.001,19.20
90,Open (15-40%) needleleaved deciduous or evergreen forest (>5m),90,0.8,0.4,0,382,0.045,0.5,0,0.01,5.40
100,Mosaic forest or shrubland (50-70%) / grassland (20-50%),100,0.8,0.3,0,406,0.039,0.5,0,0.02,5.40
110,Mosaic forest or shrubland (50-70%) / grassland (20-50%),110,0.6,0.456,0,286,0.07,0.2,0,0.015,5.40
120,Mosaic grassland (50-70%) / forest or shrubland (20-50%) ,120,0.6,0.5,0,179,0.127,0.05,0,0.03,1.97
130,Closed to open (>15%) (broadleaved or needleleaved evergreen or deciduous) shrubland (<5m),130,0.6,0.5,0,432,0.07,0.1,0,0.035,1.97
140,Closed to open (>15%) herbaceous vegetation (grassland savannas or lichens/mosses),140,0.6,0.24,0,457,0.09,0,0,0.05,1.97
150,Closed to open (>15%) herbaceous vegetation (grassland savannas or lichens/mosses),150,0.6,0.02,0,137,0.04,0.04,0,0.35,1.97
160,Closed to open (>15%) broadleaved forest regularly flooded (semi-permanently or temporarily) - Fresh or brackish water,160,0.6,0.3,0,308,0.04,0.1,0,0.001,5.40
170,Closed (>40%) broadleaved forest or shrubland permanently flooded - Saline or brackish water,170,0.8,0.8,0,308,0.036,0.2,0,0.0005,19.20
180,Closed to open (>15%) grassland or woody vegetation on regularly flooded or waterlogged soil -  Fresh brackish or saline water,180,0.6,0.15,0,107,0.127,0.01,0,0.04,1.97
190,Artificial surfaces and associated areas (Urban areas >50%),190,0.6,0.011,0.75,179,0.04,0.01,0,0.0,1.0
200,Bare areas,200,0.6,0.01,0,0,0.04,0,0,0.0,1.0
210,Water bodies,210,0.7,0.08,0,0,0.04,0,1,0.0,1.0
220,Permanent snow and ice,220,0.6,0.01,0,0,0.04,0,0,0.0,1.0
230,No Data,230,-999,-999,-999,-999,-999,-999,-999,-999,-999
